recno,2MASS,UGCS,OName,RAJ2000,DEJ2000,rPos,SpType,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,RV,e_RV,r_RV,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Pop,SimbadName
368,J04430309+2520187,,GO Tau,70.76284,25.338443,Gaia,M2.3,4.727,0.101,-20.205,0.046,6.917,0.048,21.3,,6,-20.34,0.98,-11.0,0.11,-11.01,0.17,13.842,0.004,15.253,0.016,12.633,0.011,red,2MASS J04430309+2520187
369,J04432023+2940060,,CIDA 14,70.834287,29.668253,Gaia,M5.5,2.607,0.246,-22.062,0.118,5.842,0.124,14.0,0.7,3,-14.05,0.73,-13.16,0.33,-12.26,0.22,14.03,0.001,16.248,0.006,12.644,0.004,cyan,2MASS J04432023+2940060
370,J04440164+1621324,J044401.64+162132.3,,71.006891,16.358908,Gaia,M6,11.169,0.353,-19.144,0.223,6.778,0.219,,,,,,,,,,17.299,0.003,19.795,0.055,15.822,0.011,blue,2MASS J04440164+1621324
371,J04442713+2512164,J044427.14+251216.2,IRAS 04414+2506,71.113123,25.20448,Gaia,M7.25,6.453,0.232,-20.154,0.107,7.091,0.136,,,,,,,,,,15.484,0.005,17.834,0.053,13.999,0.009,red,2MASS J04442713+2512164
372,J04445445+2717454,,HD 283782,71.22694,27.295785,Gaia,K1,4.611,0.383,-23.733,0.257,5.954,0.231,18.74,0.04,1,-18.26,0.12,-15.0,0.68,-12.77,0.5,9.358,0.001,9.889,0.003,8.68,0.002,cyan,2MASS J04445445+2717454
373,J04451654+3141202,,PSO J071.3189+31.6888,71.318923,31.688872,Gaia,M5.5,5.096,0.283,-24.491,0.148,6.407,0.158,,,,,,,,,,17.395,0.001,19.917,0.056,15.91,0.004,cyan,2MASS J04451654+3141202
374,J04455129+1555496,,HD 30171,71.463782,15.930384,Gaia,G5,10.612,0.287,-16.187,0.152,5.407,0.111,21.13,0.17,1,,,,,,,9.188,0.002,9.621,0.009,8.621,0.007,blue,2MASS J04455129+1555496
375,J04455134+1555367,,IRAS 04429+1550,71.464017,15.926773,Gaia,M2.5,11.714,0.147,-17.958,0.07,6.757,0.057,,,,,,,,,,13.364,0.025,14.589,0.101,12.243,0.068,blue,2MASS J04455134+1555367
376,J04462480+1701415,,PSO J071.6033+17.0281,71.603379,17.028101,Gaia,M7,3.584,0.975,-13.705,0.49,6.146,0.476,,,,,,,,,,18.942,0.003,20.948,0.208,17.231,0.013,green,2MASS J04462480+1701415
377,J04464260+2459034,J044642.62+245903.3,RX J04467+2459,71.677607,24.984167,Gaia,M5.5,4.599,0.521,-19.522,0.216,6.483,0.284,,,,,,,,,,14.915,0.001,17.158,0.007,13.512,0.003,red,2MASS J04464260+2459034
378,J04465305+1700001,,DQ Tau,71.721095,16.999981,Gaia,M0.6,4.74,0.129,-13.254,0.056,5.065,0.052,22.4,0.6,12,-19.62,0.61,-13.37,0.14,-10.57,0.07,12.486,0.003,13.716,0.012,11.366,0.007,green,2MASS J04465305+1700001
379,J04465897+1702381,,Haro 6-37 A,71.745738,17.043801,Gaia,K8,6.184,0.306,-12.699,0.158,5.863,0.187,22.45,0.05,1,,,,,,,12.659,0.016,13.789,0.057,11.496,0.047,green,2MASS J04465897+1702381
380,J04465897+1702381,J044659.12+170240.8,Haro 6-37 B,71.746223,17.044372,Gaia,M0.9,4.757,0.142,-13.881,0.063,5.028,0.066,21.74,0.08,1,-18.87,0.12,-13.91,0.18,-10.71,0.12,13.665,0.007,14.923,0.032,12.44,0.008,green,2MASS J04465897+1702381
381,J04470620+1658428,,DR Tau,71.77592,16.9785,Gaia,K6,5.106,0.145,-13.924,0.066,5.111,0.065,21.1,0.04,1,-18.33,0.08,-13.92,0.17,-10.22,0.13,11.649,0.015,12.345,0.054,10.712,0.038,green,2MASS J04470620+1658428
382,J04474859+2925112,,DS Tau,71.952506,29.41967,Gaia,M0.4,5.043,0.076,-24.334,0.04,6.287,0.044,16.3,2.3,6,-16.64,2.25,-14.53,0.31,-11.34,0.34,12.131,0.018,12.899,0.068,11.146,0.045,cyan,2MASS J04474859+2925112
383,J04480632+1551251,J044806.33+155125.0,,72.026424,15.856904,Gaia,M4.5,12.329,0.396,-19.894,0.237,6.544,0.235,,,,,,,,,,18.116,0.004,20.739,0.149,16.578,0.009,blue,2MASS J04480632+1551251
384,J04481348+2924537,,,72.056242,29.414822,Gaia,M1.75,5.336,0.111,-24.669,0.062,6.407,0.066,,,,,,,,,,14.913,0.029,16.506,0.082,13.684,0.085,cyan,2MASS J04481348+2924537
385,J04482274+2946227,,HD 30378,72.094793,29.772896,Gaia,B9.5,5.795,0.106,-25.278,0.056,6.199,0.064,,,,,,,,,,7.382,0.001,7.421,0.001,7.347,0.001,cyan,2MASS J04482274+2946227
386,J04484189+1703374,J044841.89+170337.3,,72.174575,17.060288,Gaia,M7,4.927,0.358,-14.024,0.215,4.723,0.236,,,,,,,,,,17.704,0.001,20.459,0.058,16.165,0.011,green,2MASS J04484189+1703374
387,J04485745+2913521,J044857.45+291351.8,,72.239413,29.231019,Gaia,M6,4.101,0.183,-24.286,0.098,6.189,0.104,,,,,,,,,,15.658,0.001,18.018,0.01,14.233,0.004,cyan,2MASS J04485745+2913521
388,J04485789+2913548,J044857.89+291354.5,,72.241258,29.231769,Gaia,M:,12.506,0.692,-26.427,0.338,4.977,0.366,,,,,,,,,,17.222,0.011,18.033,0.048,16.08,0.039,cyan,2MASS J04485789+2913548
389,J04492210+2911124,J044922.10+291112.0,,72.342136,29.186634,Gaia,M8.5,5.25,0.84,-24.87,0.496,6.091,0.5,,,,,,,,,,19.595,0.003,21.936,0.183,17.997,0.021,cyan,2MASS J04492210+2911124
390,J04504003+1619460,J045040.03+161945.9,,72.666908,16.329373,Gaia,M4.75,11.486,0.201,-18.947,0.098,7.036,0.102,,,,,,,,,,15.156,0.007,16.99,0.024,13.851,0.022,blue,2MASS J04504003+1619460
391,J04514737+3047134,,UY Aur A+B,72.94748,30.786986,Gaia,K7,4.379,0.119,-25.972,0.057,6.426,0.059,13.92,0.07,1,-14.67,0.09,-15.02,0.16,-11.42,0.12,11.693,0.007,12.621,0.036,10.68,0.02,cyan,2MASS J04514737+3047134
392,J04520668+3047175,J045206.68+304717.2,IRAS 04489+3042,73.027858,30.78806,Gaia,M4,,,,,,,,,,,,,,,,20.256,0.011,21.615,0.152,17.827,0.026,,2MASS J04520668+3047175
393,J04520970+3037454,J045209.70+303745.1,Haro 6-39,73.040449,30.629176,Gaia,,8.075,0.719,-24.622,0.426,8.641,0.457,,,,,,,,,,16.53,0.018,16.96,0.028,15.459,0.068,cyan,2MASS J04520970+3037454
394,,J045210.35+303734.2,,73.043139,30.626194,UKIDSS,M9.5,,,,,,,,,,,,,,,,,,,,,,,
395,J04551098+3021595,,GM Aur,73.795775,30.366388,Gaia,K6,3.899,0.148,-24.451,0.072,6.264,0.083,15.15,0.04,1,-15.7,0.06,-14.46,0.22,-11.19,0.17,11.7,0.004,12.422,0.019,10.803,0.013,cyan,2MASS J04551098+3021595
396,J04552333+3027366,J045523.33+302736.4,,73.847234,30.460042,Gaia,M6.25,4.994,0.31,-24.996,0.164,6.05,0.189,,,,,,,,,,17.184,0.001,19.879,0.051,15.678,0.007,cyan,2MASS J04552333+3027366
397,J04553695+3017553,,LkCa 19,73.904062,30.298535,Gaia,K2,4.307,0.154,-24.132,0.076,6.263,0.079,13.578,0.013,1,-14.19,0.04,-14.69,0.21,-10.55,0.16,10.333,0.001,10.903,0.003,9.644,0.002,cyan,2MASS J04553695+3017553
398,J04554046+3039057,J045540.46+303905.4,,73.918617,30.651456,Gaia,M5.25,4.091,0.213,-24.113,0.128,6.359,0.121,,,,,,,,,,16.346,0.001,18.564,0.019,14.951,0.005,cyan,2MASS J04554046+3039057
399,J04554535+3019389,J045545.35+301938.6,,73.938987,30.327354,Gaia,M4.75,3.617,0.161,-25.053,0.093,6.462,0.097,,,,,,,,,,14.741,0.001,16.611,0.011,13.426,0.002,cyan,2MASS J04554535+3019389
400,J04554582+3033043,,AB Aur,73.941045,30.551089,Gaia,A0,3.926,0.097,-24.112,0.068,6.14,0.057,8.9,0.9,2,-9.64,0.89,-15.39,0.19,-10.26,0.09,7.079,0.001,7.173,0.005,6.894,0.003,cyan,2MASS J04554582+3033043
401,J04554757+3028077,,,73.948257,30.468664,Gaia,M4.75,3.477,0.223,-23.996,0.13,6.38,0.152,,,,,,,,,,14.577,0.002,16.59,0.01,13.224,0.007,cyan,2MASS J04554757+3028077
402,J04554801+3028050,J045548.02+302804.7,,73.950115,30.467908,Gaia,M5.6,4.602,0.254,-23.697,0.149,6.067,0.175,,,,,,,,,,17.172,0.003,19.537,0.04,15.69,0.008,cyan,2MASS J04554801+3028050
403,J04554820+3030160,J045548.20+303015.7,XEST 26-052,73.950865,30.504321,Gaia,M4.5,3.846,0.156,-24.428,0.087,6.199,0.093,,,,,,,,,,15.216,0.001,17.091,0.009,13.903,0.003,cyan,2MASS J04554820+3030160
404,J04554822+3020165,,HD 31305,73.950996,30.337807,Gaia,A0,4.352,0.201,-23.441,0.117,5.593,0.126,,,,,,,,,,7.585,0.001,7.661,0.001,7.466,0.003,cyan,2MASS J04554822+3020165
405,J04554969+3019400,J045549.70+301939.8,,73.95711,30.327676,Gaia,M6,4.829,0.342,-23.024,0.21,6.389,0.189,,,,,,,,,,16.627,0.002,18.979,0.033,15.171,0.005,cyan,2MASS J04554969+3019400
406,J04555605+3036209,,XEST 26-062,73.983609,30.60568,Gaia,M4,,,,,,,14.4,1.1,11,,,,,,,13.904,0.004,15.718,0.016,12.563,0.01,,2MASS J04555605+3036209
407,J04555636+3049374,J045556.36+304937.2,,73.984885,30.826953,Gaia,M5,5.49,0.153,-25.547,0.089,6.475,0.095,,,,,,,,,,15.509,0.001,17.639,0.01,14.142,0.003,cyan,2MASS J04555636+3049374
408,J04555938+3034015,,SU Aur,73.997465,30.566979,Gaia,G2,4.647,0.091,-24.319,0.054,6.314,0.059,14.26,0.05,1,-14.99,0.06,-14.69,0.15,-10.41,0.1,9.429,0.016,10.228,0.092,8.802,0.073,cyan,2MASS J04555938+3034015
409,J04560118+3026348,J045601.19+302634.5,XEST 26-071,74.004974,30.442859,Gaia,M3.5,4.469,0.65,-21.341,0.391,6.303,0.369,,,,,,,,,,14.65,0.013,16.347,0.059,13.38,0.039,cyan,2MASS J04560118+3026348
410,J04560201+3021037,,HBC 427,74.00847,30.350916,Gaia,K6,5.646,0.194,-21.744,0.121,6.729,0.124,18.0,1.29,13,-18.65,1.29,-12.24,0.31,-8.77,0.12,11.086,0.003,11.925,0.009,10.245,0.007,cyan,2MASS J04560201+3021037
411,J04564798+2913113,,PSO J074.1999+29.2197,74.199947,29.219729,Gaia,M6,5.912,0.197,-24.474,0.133,6.307,0.175,,,,,,,,,,16.019,0.001,18.467,0.018,14.574,0.003,cyan,2MASS J04564798+2913113
412,J04565141+2939310,J045651.41+293930.9,,74.214245,29.658556,Gaia,M7,5.456,0.335,-24.725,0.195,6.769,0.189,,,,,,,,,,17.735,0.001,20.146,0.112,16.242,0.005,cyan,2MASS J04565141+2939310
413,J04574903+3015195,J045749.02+301519.1,,74.454247,30.255317,Gaia,M9.25,,,,,,,,,,,,,,,,20.903,0.019,22.284,0.305,19.212,0.036,,2MASS J04574903+3015195
414,J04584626+2950370,,MWC 480,74.692796,29.843499,Gaia,A2,4.793,0.133,-25.348,0.073,6.181,0.076,,,,,,,,,,7.651,0.001,7.765,0.002,7.476,0.003,cyan,2MASS J04584626+2950370
415,J04585141+2831241,,BS Tau A,74.714207,28.523225,Gaia,M2,5.303,0.085,-28.918,0.044,6.866,0.043,,,,,,,,,,13.339,0.011,14.309,0.047,12.267,0.029,cyan,2MASS J04585141+2831241
416,,,BS Tau B,74.714589,28.523337,Gaia,M5.5,5.638,0.802,-30.258,0.442,7.125,0.246,,,,,,,,,,16.381,0.005,,,,,cyan,
417,J04590305+3003004,,,74.76271,30.049987,Gaia,M2,4.59,0.067,-24.734,0.04,6.388,0.041,,,,,,,,,,13.447,0.009,14.659,0.032,12.324,0.025,cyan,2MASS J04590305+3003004
418,,,GZ Aur B,75.012883,30.019,Gaia,,5.353,0.115,-23.818,0.068,6.261,0.07,,,,,,,,,,15.519,0.026,,,,,cyan,
419,J05000310+3001074,,GZ Aur A,75.013008,30.018347,Gaia,M1.5,4.824,0.108,-26.467,0.065,5.991,0.064,,,,,,,,,,14.666,0.027,15.368,0.083,13.416,0.056,cyan,2MASS J05000310+3001074
420,J05023483+2745499,J050234.83+274549.6,,75.645156,27.763746,Gaia,M4.25,4.269,0.133,-24.571,0.077,6.218,0.08,,,,,,,,,,15.051,0.003,16.696,0.016,13.781,0.007,cyan,2MASS J05023483+2745499
421,J05023985+2459337,J050239.86+245933.5,,75.666107,24.992599,Gaia,M4.25,4.662,0.144,-26.481,0.081,6.326,0.084,,,,,,,,,,14.911,0.002,16.547,0.014,13.665,0.004,cyan,2MASS J05023985+2459337
422,J05030659+2523197,,V836 Tau,75.777509,25.388705,Gaia,M0.8,3.0,0.072,-17.178,0.045,5.897,0.043,18.15,0.03,1,-17.31,0.04,-11.84,0.09,-9.27,0.08,12.644,0.008,13.703,0.024,11.589,0.019,cyan,2MASS J05030659+2523197
423,J05044139+2509544,,CIDA 8,76.1725,25.165089,Gaia,M3.7,2.161,0.135,-16.9,0.084,5.856,0.082,,,,,,,,,,14.419,0.009,16.009,0.033,13.133,0.028,cyan,2MASS J05044139+2509544
424,J05044950+2510187,J050449.51+251018.5,,76.206268,25.171886,2MASS,L0,,,,,,,,,,,,,,,,,,,,,,,2MASS J05044950+2510187
425,J05045988+3145014,,PSO J076.2495+31.7503,76.249577,31.750294,Gaia,M5.5,5.657,0.264,-24.04,0.181,5.965,0.166,,,,,,,,,,17.329,0.001,19.749,0.045,15.903,0.003,cyan,2MASS J05045988+3145014
426,J05052286+2531312,J050522.84+253131.1,CIDA 9 A,76.345092,25.525151,Gaia,M1.8,2.43,0.194,-18.563,0.108,5.819,0.089,,,,,,,,,,15.251,0.027,16.418,0.072,14.088,0.086,cyan,2MASS J05052286+2531312
427,,,CIDA 9 B,76.345713,25.525482,Gaia,M4.6,2.418,0.457,-18.521,0.259,5.593,0.21,,,,,,,,,,17.764,0.012,19.199,0.203,16.246,0.043,cyan,
428,J05061674+2446102,,CIDA 10,76.569814,24.769413,Gaia,M4.2,2.718,0.376,-17.464,0.253,5.218,0.227,,,,,,,,,,13.979,0.002,15.662,0.01,12.708,0.006,cyan,2MASS J05061674+2446102
429,J05062332+2432199,,CIDA 11,76.597252,24.538794,Gaia,M4.2,7.01,0.655,-17.103,0.467,6.618,0.418,,,,,,,,,,13.499,0.001,15.048,0.008,12.265,0.004,cyan,2MASS J05062332+2432199
430,J05071206+2437163,,RX J0507.2+2437,76.8003,24.62114,Gaia,K6,3.473,0.07,-17.074,0.044,5.768,0.041,,,,,,,,,,12.352,0.005,13.202,0.017,11.444,0.013,cyan,2MASS J05071206+2437163
431,J05073903+2311068,J050739.03+231106.5,,76.912679,23.185113,Gaia,M4.5,3.207,0.145,-18.07,0.093,6.051,0.083,,,,,,,,,,15.461,0.002,17.285,0.017,14.153,0.007,cyan,2MASS J05073903+2311068
432,,,RW Aur B,76.956081,30.401208,Gaia,K6,2.747,0.125,-27.558,0.075,6.116,0.067,,,,,,,,,,12.205,0.009,12.93,0.036,11.106,0.03,cyan,
433,J05074953+3024050,,RW Aur A,76.956543,30.401319,Gaia,K2,4.238,1.153,-24.996,1.041,6.583,0.902,15.0,0.03,1,-15.63,0.18,-14.8,2.44,-9.75,1.68,13.318,0.065,12.802,0.043,11.395,0.125,cyan,2MASS J05074953+3024050
434,J05075496+2500156,J050754.96+250015.4,CIDA 12,76.97904,25.004258,Gaia,M3.7,3.512,0.171,-17.566,0.1,6.065,0.088,,,,,,,,,,14.445,0.003,15.926,0.022,13.226,0.006,cyan,2MASS J05075496+2500156
435,J05080709+2427123,J050807.09+242712.2,,77.029593,24.453346,Gaia,M3.5,2.072,0.124,-17.367,0.078,5.589,0.075,,,,,,,,,,14.397,0.001,15.979,0.007,13.166,0.002,cyan,2MASS J05080709+2427123
436,J05080816+2427150,,,77.034035,24.454043,Gaia,K5,,,,,,,,,,,,,,,,12.69,0.003,13.805,0.014,11.438,0.007,,2MASS J05080816+2427150
437,,,J05080816+2427150 B,77.034154,24.454281,Gaia,,-1.889,0.628,-17.559,0.423,5.745,0.154,,,,,,,,,,14.636,0.003,,,,,cyan,
438,J05122759+2253492,,,78.114949,22.896918,Gaia,M2.5,4.203,0.812,-19.488,0.514,3.668,0.413,,,,,,,,,,13.15,0.01,14.223,0.01,11.85,0.01,cyan,2MASS J05122759+2253492
